t,x,y,vx,vy
2.005505028673631784e+01,1.013166341451654870e-04,6.368873738063334712e-06,-7.014238571234659503e+01,-2.202216981458864353e+00
2.005505031100957680e+01,9.960683670008968677e-05,6.314964035772747074e-06,-7.074010408941261119e+01,-2.239950936435336715e+00
2.005505033528283576e+01,9.788227948736959042e-05,6.260118510945586942e-06,-7.135872943119011325e+01,-2.279343290005902301e+00
2.005505035669059311e+01,9.634864401282887110e-05,6.210937806001184400e-06,-7.192272045101567812e+01,-2.315556796629433922e+00
2.005505037812747560e+01,9.480062919481624395e-05,6.160897707734601187e-06,-7.250577864387682325e+01,-2.353295555838364361e+00
2.005505039956435809e+01,9.323990971750910686e-05,6.110031904368591950e-06,-7.310821364958189861e+01,-2.392609907887092380e+00
2.005505042100124058e+01,9.166605798518887493e-05,6.058305480685793084e-06,-7.373118124578459742e+01,-2.433607796302196924e+00
2.005505044243812307e+01,9.007862056220787626e-05,6.005681097828831358e-06,-7.437593828241965355e+01,-2.476407600538587772e+00
2.005505046134437208e+01,8.866692313781336437e-05,5.958492021320485464e-06,-7.496375337272540662e+01,-2.515753703815668096e+00
2.005505048027633563e+01,8.724199059412413059e-05,5.910478337095327707e-06,-7.557144024828735951e+01,-2.556757049006311622e+00
2.005505049920829919e+01,8.580536400464005154e-05,5.861672350362293779e-06,-7.619932175356731818e+01,-2.599472351838722162e+00
2.005505051814026274e+01,8.435664980069972876e-05,5.812040556999043758e-06,-7.684860240439178369e+01,-2.644016901812094478e+00
2.005505053707222629e+01,8.289543063084443125e-05,5.761547127121732378e-06,-7.752059204714687723e+01,-2.690519328206530503e+00
2.005505055376928425e+01,8.159597688888321591e-05,5.716268809682860651e-06,-7.813323483434216143e+01,-2.733269405146836029e+00
2.005505057048905115e+01,8.028434110604529804e-05,5.670199249574283752e-06,-7.876658787406228157e+01,-2.777820161602087001e+00
2.005505058720881806e+01,7.896194153658405487e-05,5.623369430165531081e-06,-7.942098770824031817e+01,-2.824231066038656035e+00
2.005505060392858496e+01,7.762841593362906044e-05,5.575747200956182404e-06,-8.009768963158538213e+01,-2.872629565020456521e+00
2.005505062064835187e+01,7.628338016110641274e-05,5.527298179574005284e-06,-8.079805870537789758e+01,-2.923155427233161241e+00
2.005505063539439092e+01,7.508724561683597352e-05,5.483852990007806322e-06,-8.143657509907203007e+01,-2.969604464134527166e+00
2.005505065016048860e+01,7.387989799819652970e-05,5.439648550933593483e-06,-8.209667562331027568e+01,-3.018010075305314288e+00
2.005505066492658628e+01,7.266264287049791415e-05,5.394714590126167230e-06,-8.277871091082803900e+01,-3.068436883449602970e+00
2.005505067969268396e+01,7.143514681763187360e-05,5.349020255476833222e-06,-8.348398916273144721e+01,-3.121023374375040405e+00
2.005505069445878163e+01,7.019705627727504144e-05,5.302532553059593299e-06,-8.421393296802789052e+01,-3.175921423739289651e+00
2.005505070748179364e+01,6.909602653915854285e-05,5.260846016053518661e-06,-8.487941224513131999e+01,-3.226390037909157016e+00
2.005505072052252657e+01,6.798467520299349707e-05,5.218430902877845842e-06,-8.556738648644967782e+01,-3.278984670943176027e+00
2.005505073356325951e+01,6.686420454498570121e-05,5.175315753225616645e-06,-8.627822072943230580e+01,-3.333775528304112612e+00
2.005505074660399245e+01,6.573430768724978807e-05,5.131470960414826365e-06,-8.701327829483624043e+01,-3.390913094137107286e+00
2.005505075964472539e+01,6.459465921007694544e-05,5.086864862323482907e-06,-8.777404170531485761e+01,-3.450562403004350021e+00
2.005505077114606038e+01,6.358117300992543704e-05,5.046865513769479097e-06,-8.846761846694356279e+01,-3.505399100164909409e+00
2.005505078266304153e+01,6.255818647632172241e-05,5.006167039103989387e-06,-8.918463878532688227e+01,-3.562545936272354830e+00
2.005505079418002268e+01,6.152680615174727888e-05,4.964796813056877066e-06,-8.992548309587601807e+01,-3.622079216458186757e+00
2.005505080569700382e+01,6.048674958728707403e-05,4.922726423644440590e-06,-9.069157213758228409e+01,-3.684162465570143929e+00
2.005505081721398497e+01,5.943771726909915029e-05,4.879925486300663642e-06,-9.148445086517610036e+01,-3.748975020333301433e+00
2.005505082737147049e+01,5.850481324067015966e-05,4.841544699741036707e-06,-9.220730777353600160e+01,-3.808558711948027309e+00
2.005505083754276185e+01,5.756316570341029378e-05,4.802493072598325901e-06,-9.295459591238699204e+01,-3.870652597768934999e+00
2.005505084771405322e+01,5.661379221499467660e-05,4.762796826184787523e-06,-9.372671242082127208e+01,-3.935339670072605323e+00
2.005505085788534458e+01,5.565643281307727222e-05,4.722428694449631342e-06,-9.452513785174789973e+01,-4.002797628378562678e+00
2.005505086805663595e+01,5.469081182985394509e-05,4.681359518231805479e-06,-9.535148219595843955e+01,-4.073221355332949045e+00
2.005505087702730904e+01,5.383208351473958014e-05,4.644531497972067263e-06,-9.610484997028882503e+01,-4.137963871753012945e+00
2.005505088601017150e+01,5.296530754066857571e-05,4.607059737159831161e-06,-9.688367860364131445e+01,-4.205434069122283347e+00
2.005505089499303395e+01,5.209142034832057018e-05,4.568969382462556968e-06,-9.768838203909336926e+01,-4.275722163072138038e+00
2.005505090397589640e+01,5.121018267379501482e-05,4.530234266944058717e-06,-9.852050313713885998e+01,-4.349021261209081501e+00
2.005505091295875886e+01,5.032134079909734520e-05,4.490826406778888854e-06,-9.938171963502881567e+01,-4.425543144954884767e+00
2.005505092088130326e+01,4.953089084443869171e-05,4.455488005428097603e-06,-1.001668801826567829e+02,-4.495892226624160770e+00
2.005505092881461593e+01,4.873303338744287800e-05,4.419531842503211992e-06,-1.009785746283644130e+02,-4.569205412284498280e+00
2.005505093674792860e+01,4.792863056423310431e-05,4.382982049276995660e-06,-1.018172340738735642e+02,-4.645580742907401195e+00
2.005505094468124128e+01,4.711746216357316856e-05,4.345813513012357536e-06,-1.026844662804885218e+02,-4.725228075646172421e+00
2.005505095261455395e+01,4.629929467200118756e-05,4.307999377185240864e-06,-1.035820195503614656e+02,-4.808377562077203571e+00
2.005505095961145656e+01,4.557169380918141342e-05,4.274089961674559023e-06,-1.044003086808652938e+02,-4.884820085710029680e+00
2.005505096661786979e+01,4.483727458210024598e-05,4.239587697405011111e-06,-1.052462497791605358e+02,-4.964483719554907637e+00
2.005505097362428302e+01,4.409683083788880961e-05,4.204515746579347970e-06,-1.061202916677928272e+02,-5.047475001035492070e+00
2.005505098063069624e+01,4.335015990259430884e-05,4.168850007496697192e-06,-1.070241097100046517e+02,-5.134021996626330520e+00
2.005505098763710947e+01,4.259704686028427433e-05,4.132564704772977610e-06,-1.079595257085267548e+02,-5.224374829253413566e+00
2.005505099381653267e+01,4.192729805511853663e-05,4.100026115123636843e-06,-1.088123339331421704e+02,-5.307440141055780103e+00
2.005505100000435803e+01,4.125127349425370147e-05,4.066918587525460019e-06,-1.096939585005981002e+02,-5.394005902063470970e+00
2.005505100619218339e+01,4.056970385732688487e-05,4.033264339928917650e-06,-1.106048670202297899e+02,-5.484187922298615625e+00
2.005505101238000876e+01,3.988240261361863432e-05,3.999040240341480087e-06,-1.115468052593779191e+02,-5.578234064768474276e+00
2.005505101856783412e+01,3.918917196640691475e-05,3.964221550322274565e-06,-1.125216715664403893e+02,-5.676416164724512825e+00
2.005505102402531037e+01,3.857267526658143716e-05,3.932997964361527320e-06,-1.134104469976733327e+02,-5.766679898975213270e+00
2.005505102949019758e+01,3.795040279550780486e-05,3.901228401322581510e-06,-1.143292509278656297e+02,-5.860747669807795823e+00
2.005505103495508479e+01,3.732302657415670192e-05,3.868934147103087951e-06,-1.152785712494612795e+02,-5.958745446989168748e+00
2.005505104041997200e+01,3.669037493184856445e-05,3.836092999757522013e-06,-1.162602270461952827e+02,-6.060942616844547715e+00
2.005505104588485921e+01,3.605226583031086141e-05,3.802681215373625990e-06,-1.172761963766659221e+02,-6.167634621050274824e+00
2.005505105070474769e+01,3.548478707793708772e-05,3.772719067338826441e-06,-1.182024466095414112e+02,-6.265722760908836619e+00
2.005505105553118739e+01,3.491199193955694041e-05,3.742232920847808324e-06,-1.191599893014440283e+02,-6.367945121176499690e+00
2.005505106035762708e+01,3.433449927089604967e-05,3.711243209790248360e-06,-1.201493322201194047e+02,-6.474438597143073792e+00
2.005505106518406677e+01,3.375215107907023201e-05,3.679728624056819573e-06,-1.211723708048025117e+02,-6.585495979348462647e+00
2.005505107001050646e+01,3.316477983052415371e-05,3.647666373396837183e-06,-1.222311661267576994e+02,-6.701438379139252000e+00
2.005505107426731470e+01,3.264242150255010436e-05,3.618914256147924383e-06,-1.231964608478084529e+02,-6.808031762657815733e+00
2.005505107852990321e+01,3.211517015505768025e-05,3.589659247846343666e-06,-1.241943636578837271e+02,-6.919118251355183880e+00
2.005505108279249171e+01,3.158359520477592734e-05,3.559920937975633335e-06,-1.252254038496834028e+02,-7.034846717756438217e+00
2.005505108705508022e+01,3.104755124948380016e-05,3.529678871731631875e-06,-1.262915563634013978e+02,-7.155535401782146643e+00
2.005505109131766872e+01,3.050688410749737874e-05,3.498911173458045191e-06,-1.273949687003305513e+02,-7.281533327871319905e+00
2.005505109507719297e+01,3.002605842868715796e-05,3.471319745770592101e-06,-1.284009421235679724e+02,-7.397372526498686263e+00
2.005505109884182247e+01,2.954072964417685655e-05,3.443245683222294197e-06,-1.294408934092846835e+02,-7.518094985106857919e+00
2.005505110260645196e+01,2.905142145270603722e-05,3.414707752472823804e-06,-1.305153747239970414e+02,-7.643862665335139361e+00
2.005505110637108146e+01,2.855800004167864919e-05,3.385686318909686878e-06,-1.316264437805111243e+02,-7.775021483321235216e+00
2.005505111013571096e+01,2.806032351972754027e-05,3.356160383918376961e-06,-1.327763380644279891e+02,-7.911950819377878474e+00
2.005505111345605940e+01,2.761772839961954115e-05,3.329682318399698846e-06,-1.338246902169511259e+02,-8.037841327822158988e+00
2.005505111678091978e+01,2.717098821336203787e-05,3.302740993178846873e-06,-1.349084487842471560e+02,-8.169039576818855508e+00
2.005505112010578017e+01,2.672058543768339637e-05,3.275354435508359957e-06,-1.360281878283159926e+02,-8.305721549610334264e+00
2.005505112343064056e+01,2.626639692762427193e-05,3.247503797175573775e-06,-1.371860512417513291e+02,-8.448263264614954693e+00
2.005505112675550095e+01,2.580829210439702047e-05,3.219168920466346635e-06,-1.383843701959127088e+02,-8.597077119470613482e+00
2.005505112968799253e+01,2.540088748709546846e-05,3.193758764951802183e-06,-1.394768716750894271e+02,-8.733895438236803699e+00
2.005505113262446315e+01,2.498966846779101936e-05,3.167903998271249684e-06,-1.406062643853222482e+02,-8.876482749040260245e+00
2.005505113556093377e+01,2.457507849913964060e-05,3.141621872177984338e-06,-1.417731478661276014e+02,-9.025030628563451174e+00
2.005505113849740439e+01,2.415700425635417274e-05,3.114894292604234837e-06,-1.429797557057050312e+02,-9.179947835529100431e+00
2.005505114143387502e+01,2.373532557454455686e-05,3.087701908242800546e-06,-1.442285165795575494e+02,-9.341682678828028941e+00
2.005505114402383171e+01,2.336031336959179088e-05,3.063316057857570964e-06,-1.453670090029033872e+02,-9.490382401301378223e+00
2.005505114661730204e+01,2.298179051152732027e-05,3.038503440493024409e-06,-1.465439405192404365e+02,-9.645352970660489689e+00
2.005505114921077237e+01,2.260016514496603835e-05,3.013280601623585500e-06,-1.477599355477519509e+02,-9.806802737585304186e+00
2.005505115180424269e+01,2.221533298401120026e-05,2.987630170167827674e-06,-1.490173210440312630e+02,-9.975176078547445258e+00
2.005505115439771302e+01,2.182718344914611191e-05,2.961533567899620398e-06,-1.503186271757738552e+02,-1.015096037050318323e+01
